window,step_start,step_stop,rows,metric,mean,sem,std
early_prior_plateau,510,1000,50,loss,0.08543844074010849,0.00017903791598639773,0.0012659892448348923
early_prior_plateau,510,1000,50,code_ordinal_loss,0.0826410011947155,0.0001609893102480977,0.0011383663297497484
early_prior_plateau,510,1000,50,scale_ordinal_loss,0.0027974400157108905,5.470677507698827e-05,0.00038683531633785617
early_prior_plateau,510,1000,50,code_accuracy,0.16994092404842376,0.00041268391384775843,0.0029181159396835495
early_prior_plateau,510,1000,50,code_off_by_one_accuracy,0.4734182459115982,0.0007398451728022568,0.005231495387166088
early_prior_plateau,510,1000,50,code_mean_absolute_bin_error,1.9400301337242127,0.0026320238150209117,0.01861121887845774
early_prior_plateau,510,1000,50,hard_decode_raw_nrmse,1.001980996131897,0.00028239210670972424,0.0019968137360800117
early_prior_plateau,510,1000,50,diagnostic_old_legacy_task_loss,28.425490493774415,0.41642324370395206,2.9445569946676278
early_prior_plateau,510,1000,50,diagnostic_old_behavioral_direction,0.9752334702014923,0.0024565876025089838,0.017370697523129055
early_prior_plateau,510,1000,50,diagnostic_old_structural_direction,0.964272962808609,0.00221165932796066,0.015638793084754653
early_prior_plateau,510,1000,50,behavioral_direction_alignment,0.02476652979850769,0.0024565876025089838,0.017370697523129055
early_prior_plateau,510,1000,50,structural_direction_alignment,0.03572703719139099,0.00221165932796066,0.015638793084754653
early_prior_plateau,510,1000,50,diagnostic_old_direction_contrastive_loss,0.8813726830482483,0.012079236304574243,0.0854130990251918
early_prior_plateau,510,1000,50,diagnostic_old_direction_contrastive_top1_accuracy,0.44575806498527526,0.012105697902218859,0.08560021077654718
early_prior_plateau,510,1000,50,contrastive_chance_top1,0.39289424412253865,0.004832881412795334,0.03417363219658003
early_prior_plateau,510,1000,50,contrastive_top1_advantage,0.05286382086273662,0.011271403427513454,0.07970085797084059
early_prior_plateau,510,1000,50,diagnostic_old_direction_contrastive_diagonal_similarity_mean,0.007648278263222892,0.0008128510799454742,0.005747725107242533
early_prior_plateau,510,1000,50,diagnostic_old_direction_contrastive_offdiagonal_similarity_mean,0.002199314810859505,0.0006237219831227114,0.004410380438411906
early_prior_plateau,510,1000,50,contrastive_diagonal_minus_offdiagonal,0.005448963452363387,0.0008750798762610847,0.006187749145840979
early_prior_plateau,510,1000,50,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.0015141215219227888,0.0007464188839982922,0.005277978544808874
early_prior_plateau,510,1000,50,diagnostic_old_behavioral_scale,1.3477891325950622,0.02563863674139391,0.18129253900218203
early_prior_plateau,510,1000,50,diagnostic_old_structural_scale,1.3008092749118805,0.017271802733915775,0.12213008836468196
early_prior_plateau,510,1000,50,diagnostic_old_behavioral_operator_actual,0.028115475028753282,0.00042248548472107524,0.0029874235119915784
early_prior_plateau,510,1000,50,diagnostic_old_latent_interaction_rms_ratio,0.04501421332359314,0.0006382814409347255,0.004513331351904652
