phase,step_start,step_stop,rows,metric,median,p10,p90
2,8100,17000,90,distribution_encoder,3.4542603047273924e-08,1.4188065601941534e-08,1.2691072715837203e-07
2,8100,17000,90,encoder_block_1,3.046900269875948e-07,1.7091054188781178e-07,6.71446954372646e-07
2,8100,17000,90,encoder_block_10,1.2983330248649366e-08,8.759095133620395e-09,2.0253633394463332e-08
2,8100,17000,90,encoder_block_11,1.3312930211212492e-08,8.872776005655003e-09,2.0324280441846323e-08
2,8100,17000,90,encoder_block_12,1.4600396647923398e-08,9.729465039144843e-09,2.270901491300444e-08
2,8100,17000,90,encoder_block_13,1.6501767245931437e-08,1.0667822314969912e-08,2.8735144770444008e-08
2,8100,17000,90,encoder_block_2,4.992811040317741e-08,3.52549145293098e-08,7.767470717905838e-08
2,8100,17000,90,encoder_block_3,3.831764028801488e-08,2.8159412891804267e-08,5.6251401770237854e-08
2,8100,17000,90,encoder_block_4,2.9455713053097078e-08,2.0747887100661884e-08,4.278435443386051e-08
2,8100,17000,90,encoder_block_5,2.1065876233397902e-08,1.4936376168995017e-08,3.09355118525932e-08
2,8100,17000,90,encoder_block_6,1.7011953362017328e-08,1.2294376742026883e-08,2.539005797561271e-08
2,8100,17000,90,encoder_block_7,1.4793200566984373e-08,1.0290387701784569e-08,2.246167640596823e-08
2,8100,17000,90,encoder_block_8,1.3904369774318264e-08,9.347285644586854e-09,2.0523933256841348e-08
2,8100,17000,90,encoder_block_9,1.3396395325890775e-08,8.818429814712945e-09,1.9962078504315772e-08
2,8100,17000,90,input_and_queries,1.1742866235052465e-06,5.40610577735808e-07,3.0008225935623797e-06
2,8100,17000,90,none_parameter_tensors,0.0,0.0,1.0
2,8100,17000,90,scale_head,1.8468037977802403e-06,9.414222447833581e-07,3.1757032462848865e-06
3,17100,32000,150,code_gradient_rms,6.864103596626592e-08,3.6969663597119504e-08,1.1680259035529161e-07
3,17100,32000,150,code_scale_gradient_cosine,0.06097734905779362,0.03083147816359997,0.11457770243287087
3,17100,32000,150,scale_gradient_rms,1.7361463378051667e-08,9.900972841592193e-09,4.868153524739681e-08
3,17100,32000,150,scale_over_code_gradient_rms,0.27381429076194763,0.14461714178323745,0.5790368556976319
3,17100,32000,150,bottleneck_projections,4.86017764162412e-06,2.601247349126799e-06,7.920473259179777e-06
3,17100,32000,150,categorical_tail,4.2382640112904846e-07,1.3997693205684616e-07,8.587460803030419e-07
3,17100,32000,150,code_head,5.606497073463533e-06,4.399209798111434e-06,7.873155389468114e-06
3,17100,32000,150,decoder_block_1,2.8909738608359423e-06,1.5417343749048446e-06,5.362558360562544e-06
3,17100,32000,150,decoder_block_2,1.507442023035434e-06,7.965515845669824e-07,3.0012282627087654e-06
3,17100,32000,150,decoder_block_3,1.0446717019409004e-06,5.035575248876726e-07,2.0334549845141857e-06
3,17100,32000,150,decoder_block_4,7.845059449186407e-07,2.849245817249202e-07,1.5465562550711022e-06
3,17100,32000,150,decoder_block_5,5.5654620571552e-07,2.0584698720740264e-07,1.0983039508177293e-06
3,17100,32000,150,distribution_encoder,5.2687824938057e-07,1.135902346106755e-07,2.9565645379158393e-06
3,17100,32000,150,encoder_block_1,1.1879657987027995e-06,7.33854091216171e-07,2.0255320970173542e-06
3,17100,32000,150,encoder_block_10,3.110245916916593e-08,1.7143503791539254e-08,5.575510191027581e-08
3,17100,32000,150,encoder_block_11,3.310024155811228e-08,1.7847547418145226e-08,6.099802772381694e-08
3,17100,32000,150,encoder_block_12,3.619929122065438e-08,1.982452614364934e-08,6.79517521874096e-08
3,17100,32000,150,encoder_block_13,4.109176987730163e-08,2.4360074437502468e-08,7.937734004457063e-08
3,17100,32000,150,encoder_block_2,5.5412477805749226e-08,3.691719715072159e-08,8.561168288420213e-08
3,17100,32000,150,encoder_block_3,5.190761887144602e-08,3.479040227795261e-08,8.363371259091089e-08
3,17100,32000,150,encoder_block_4,4.646433950986437e-08,2.98893316338915e-08,7.684537812364331e-08
3,17100,32000,150,encoder_block_5,3.721345815757507e-08,2.339093693179964e-08,6.234906764772403e-08
3,17100,32000,150,encoder_block_6,3.261242808715344e-08,1.910878542498548e-08,5.408800897666153e-08
3,17100,32000,150,encoder_block_7,3.00968385796274e-08,1.6915877235718378e-08,4.945747342013838e-08
3,17100,32000,150,encoder_block_8,3.0699073165538365e-08,1.7335570944033522e-08,5.380640045858401e-08
3,17100,32000,150,encoder_block_9,3.026790750109755e-08,1.755962126061107e-08,5.444915189700211e-08
3,17100,32000,150,input_and_queries,6.478346775872731e-06,3.7277894028280056e-06,1.1216213496841026e-05
3,17100,32000,150,none_parameter_tensors,0.0,0.0,0.09999999999999432
3,17100,32000,150,scale_head,1.186495174157536e-06,7.575130651686265e-07,1.8710678212646976e-06
4,32100,98000,660,code_gradient_rms,7.078670805071852e-08,4.593559062016084e-08,1.0608131120193321e-07
4,32100,98000,660,code_scale_gradient_cosine,0.06260194256901741,0.026338522508740424,0.11481790319085124
4,32100,98000,660,scale_gradient_rms,2.292054812613742e-08,1.0875236977625492e-08,4.434757592264305e-08
4,32100,98000,660,scale_over_code_gradient_rms,0.32370737195014954,0.1715919032692909,0.575557291507721
4,32100,98000,660,bottleneck_projections,4.948764465780925e-06,3.203603214374108e-06,7.339910439987081e-06
4,32100,98000,660,categorical_tail,4.125410515664408e-07,2.865900824970687e-07,7.494575095430015e-07
4,32100,98000,660,code_head,4.604783734911033e-06,3.5956959913330497e-06,6.660643160136538e-06
4,32100,98000,660,decoder_block_1,3.4054454911928486e-06,2.114300597386678e-06,5.560395838391847e-06
4,32100,98000,660,decoder_block_2,1.8308217522793271e-06,1.1532800317816553e-06,3.1465292854362157e-06
4,32100,98000,660,decoder_block_3,1.4430564897001717e-06,8.993710301957832e-07,2.4780097744469233e-06
4,32100,98000,660,decoder_block_4,1.0644915656020396e-06,6.865432166003829e-07,1.7981464998454035e-06
4,32100,98000,660,decoder_block_5,6.30235579765848e-07,4.0691280704028203e-07,1.0468196592836511e-06
4,32100,98000,660,distribution_encoder,2.2034358472474246e-07,9.824083951265643e-08,6.307430006391849e-07
4,32100,98000,660,encoder_block_1,8.669852526568247e-07,5.818453108822618e-07,1.3087491815649624e-06
4,32100,98000,660,encoder_block_10,3.186468360129571e-08,2.1113666542516674e-08,4.779834111752137e-08
4,32100,98000,660,encoder_block_11,3.365858062511816e-08,2.209120508110255e-08,5.03201579567702e-08
4,32100,98000,660,encoder_block_12,4.003386297724645e-08,2.447517812916053e-08,6.141405163667771e-08
4,32100,98000,660,encoder_block_13,5.256265277486006e-08,2.965076419327402e-08,8.462088297808963e-08
4,32100,98000,660,encoder_block_2,4.733931442627445e-08,3.402569620991941e-08,6.872989155381801e-08
4,32100,98000,660,encoder_block_3,4.279326341434345e-08,3.070803604126401e-08,6.366705160618848e-08
4,32100,98000,660,encoder_block_4,3.802674170315334e-08,2.664589418324854e-08,5.692415627521999e-08
4,32100,98000,660,encoder_block_5,3.4439961556928306e-08,2.382165807592642e-08,5.155753946760104e-08
4,32100,98000,660,encoder_block_6,3.2093511606675175e-08,2.2085380298407792e-08,4.817106146640249e-08
4,32100,98000,660,encoder_block_7,2.9768521828511463e-08,1.9789117959928827e-08,4.53886631823801e-08
4,32100,98000,660,encoder_block_8,3.1086589726825284e-08,2.096932208511724e-08,4.6725248186280805e-08
4,32100,98000,660,encoder_block_9,3.200939618746441e-08,2.1276942559272235e-08,4.805707482537537e-08
4,32100,98000,660,input_and_queries,5.875433417163105e-06,3.7607788335815443e-06,8.691163474313834e-06
4,32100,98000,660,none_parameter_tensors,0.0,0.0,0.0
4,32100,98000,660,scale_head,9.998247710154108e-07,6.015254962023145e-07,1.8071852542673722e-06
