phase,step_start,step_stop,complete_1k_bins,metric,median_of_bin_medians,first_bin_median,last_bin_median,theil_sen_slope_per_1000_steps
2,8010,17000,9,steps_per_second,1.4177646754742572,1.2853767313047952,1.498124151306631,0.02572556565750505
2,8010,17000,9,gptq_tokenizer_seconds,0.021569190081208944,0.021837056847289205,0.021293333964422345,-4.433094207862658e-05
3,17010,32000,15,loss,0.07921724766492844,0.0816630907356739,0.07724742218852043,-0.00029583368450403214
3,17010,32000,15,code_ordinal_loss,0.07763666287064552,0.080115906894207,0.07580625638365746,-0.00028256264825661975
3,17010,32000,15,scale_ordinal_loss,0.0016021390911191702,0.0015903408639132977,0.001748923968989402,1.2173362645424075e-05
3,17010,32000,15,scale_loss_fraction,0.020086935416202552,0.019462313576984667,0.02250104210220113,0.00022658931909474064
3,17010,32000,15,code_accuracy,0.1748431771993637,0.16980943828821182,0.1777464747428894,0.0006145387887954712
3,17010,32000,15,code_off_by_one_accuracy,0.48533979058265686,0.47489693760871887,0.49324822425842285,0.001342269778251648
3,17010,32000,15,code_mean_absolute_bin_error,1.8828091621398926,1.9198086261749268,1.8470427989959717,-0.005061497290929158
3,17010,32000,15,scale_accuracy,0.07976430654525757,0.07794331386685371,0.08112373948097229,0.00030206602353316086
3,17010,32000,15,scale_off_by_one_accuracy,0.2367628738284111,0.23324894160032272,0.24013552069664001,0.0008097611367702484
3,17010,32000,15,scale_mean_absolute_bin_error,4.616379499435425,4.610037803649902,4.660467147827148,0.006398648023605347
3,17010,32000,15,hard_decode_raw_nrmse,0.9336664378643036,0.9476402401924133,0.901189535856247,-0.003402557224035263
3,17010,32000,15,diagnostic_old_behavioral_operator_actual,0.020923343487083912,0.023089648224413395,0.01850422564893961,-0.00031013678138454753
3,17010,32000,15,operator_over_teacher_floor,16.651805391216854,17.84436590502471,15.490113882566497,-0.1519522457981342
3,17010,32000,15,diagnostic_old_behavioral_direction,0.6881034970283508,0.7475710809230804,0.6398819386959076,-0.008419832357993493
3,17010,32000,15,diagnostic_old_structural_direction,0.7873102426528931,0.8498196601867676,0.729380875825882,-0.008343376219272614
3,17010,32000,15,diagnostic_old_direction_contrastive_loss,0.5161572694778442,0.5513706803321838,0.4836702048778534,-0.00654410074154536
3,17010,32000,15,diagnostic_old_direction_contrastive_top1_accuracy,0.7752525508403778,0.7633053362369537,0.800000011920929,0.0014783706929948595
3,17010,32000,15,contrastive_chance_top1,0.38675213675213677,0.3920807453416149,0.38675213675213677,0.00030525030525030845
3,17010,32000,15,contrastive_top1_advantage,0.3849206320823185,0.3636363853107799,0.40454547332994867,0.00030524770086106816
3,17010,32000,15,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.21208933740854263,0.13892807066440582,0.26301059126853943,0.00994230123857657
3,17010,32000,15,diagnostic_old_latent_interaction_rms_ratio,0.5494857728481293,0.5315521955490112,0.5429080426692963,0.0012892219755384657
3,17010,32000,15,latent_interaction_rms_estimate,1.3462880400389565,1.1821422934348647,1.43984846860252,0.018869003657272287
3,17010,32000,15,diagnostic_old_latent_rms,2.442065715789795,2.221964120864868,2.6508328914642334,0.02999963363011678
3,17010,32000,15,grad_norm_pre_clip,0.024407988414168358,0.012914440594613552,0.029117681086063385,0.001192749012261629
3,17010,32000,15,teacher_continuous_scale_raw_nrmse,0.16140900552272797,0.1619586944580078,0.160978265106678,-5.384255200624466e-05
3,17010,32000,15,teacher_continuous_scale_operator_metric,0.0013094526948407292,0.0013387749204412103,0.0011853768955916166,-1.2495607899671251e-05
3,17010,32000,15,steps_per_second,1.5886552562024832,1.513549544789365,1.6253136300489293,0.008319946883899976
3,17010,32000,15,gptq_tokenizer_seconds,0.02150205196812749,0.021298110485076904,0.021820371272042394,2.2338884365227488e-05
4,32010,98000,66,loss,0.07811138033866882,0.07751476392149925,0.07798781618475914,-1.383828068221057e-05
4,32010,98000,66,code_ordinal_loss,0.07650861702859402,0.07588675245642662,0.0761895701289177,-1.4323603223871302e-05
4,32010,98000,66,scale_ordinal_loss,0.0016393238329328597,0.0017363449442200363,0.0016327491612173617,-9.151192248931953e-07
4,32010,98000,66,scale_loss_fraction,0.021117831711290558,0.022247067294752107,0.021137220142379943,-1.0774950121177305e-05
4,32010,98000,66,code_accuracy,0.17736927047371864,0.17742108553647995,0.17858339101076126,3.9354380634095934e-05
4,32010,98000,66,code_off_by_one_accuracy,0.4907473623752594,0.490266814827919,0.491858646273613,6.464247902234395e-05
4,32010,98000,66,code_mean_absolute_bin_error,1.8633252382278442,1.8596729636192322,1.863495409488678,-0.00022326146855073816
4,32010,98000,66,scale_accuracy,0.08383137546479702,0.08225574716925621,0.0844966433942318,6.666308955142373e-05
4,32010,98000,66,scale_off_by_one_accuracy,0.24663464725017548,0.23473836481571198,0.24836482107639313,0.0001780986785888672
4,32010,98000,66,scale_mean_absolute_bin_error,4.582799911499023,4.670222997665405,4.625035524368286,-0.0011248540878295897
4,32010,98000,66,hard_decode_raw_nrmse,0.9113768488168716,0.9120239913463593,0.9279472529888153,0.00016056325124657673
4,32010,98000,66,diagnostic_old_behavioral_operator_actual,0.01974792778491974,0.019756789319217205,0.018720910884439945,-6.924315609715202e-06
4,32010,98000,66,operator_over_teacher_floor,16.193620931824007,16.4728157458971,16.153103501088566,-0.005377704507127866
4,32010,98000,66,diagnostic_old_behavioral_direction,0.6565267592668533,0.6570085287094116,0.6602256298065186,-0.00011327421223675763
4,32010,98000,66,diagnostic_old_structural_direction,0.7645557820796967,0.7649478912353516,0.7677896022796631,-9.71481204032898e-05
4,32010,98000,66,diagnostic_old_direction_contrastive_loss,0.4813859835267067,0.4884895384311676,0.4934777617454529,-0.00010923892259597778
4,32010,98000,66,diagnostic_old_direction_contrastive_top1_accuracy,0.7814009636640549,0.7894737124443054,0.7841615080833435,0.00025252401828765867
4,32010,98000,66,contrastive_chance_top1,0.39009661835748793,0.38095238095238093,0.38095238095238093,0.0
4,32010,98000,66,contrastive_top1_advantage,0.3809523937248048,0.4210526598127265,0.40000001192092893,0.00014881030434653886
4,32010,98000,66,diagnostic_old_direction_contrastive_diagonal_minus_hardest_negative_mean,0.24153761565685272,0.24513615667819977,0.23542499542236328,0.00018934484409249347
4,32010,98000,66,diagnostic_old_latent_interaction_rms_ratio,0.47452789545059204,0.5401117205619812,0.4440484493970871,-0.0013062705596288045
4,32010,98000,66,latent_interaction_rms_estimate,1.5478122762837732,1.44333785837987,1.657523046501904,0.0038177207966415615
4,32010,98000,66,diagnostic_old_latent_rms,3.254475235939026,2.6680984497070312,3.7275344133377075,0.016868131501334056
4,32010,98000,66,grad_norm_pre_clip,0.030274452175945044,0.02796592377126217,0.029462052509188652,-3.685088207324346e-06
4,32010,98000,66,teacher_continuous_scale_raw_nrmse,0.1629263162612915,0.16175711899995804,0.1639290377497673,3.4164780607590306e-05
4,32010,98000,66,teacher_continuous_scale_operator_metric,0.0012513957626651973,0.0011873819748871028,0.0012011787621304393,-4.440080374479294e-07
4,32010,98000,66,steps_per_second,1.687266621810613,1.6268103598394237,1.703525228516451,0.000907966901792883
4,32010,98000,66,gptq_tokenizer_seconds,0.021523543167859316,0.02162436000071466,0.021840735338628292,-5.979597082604533e-06
