window,step_start,step_stop,rows,metric,median,mean,p10,p90,mad
prior_plateau_510_1000,510,1000,50,scale_loss_fraction,0.03312267255105222,0.032719205302091894,0.02635324892516515,0.03796041811306746,0.0031363326263361396
prior_plateau_510_1000,510,1000,50,code_accuracy,0.1702343001961708,0.16994092404842376,0.1660143867135048,0.1728118449449539,0.0015110746026039124
prior_plateau_510_1000,510,1000,50,code_off_by_one_accuracy,0.47385767102241516,0.4734182459115982,0.46706381142139436,0.4785873770713806,0.0034536123275756836
prior_plateau_510_1000,510,1000,50,code_mean_absolute_bin_error,1.9387312531471252,1.9400301337242127,1.918211781978607,1.9647251129150392,0.0121917724609375
prior_plateau_510_1000,510,1000,50,scale_accuracy,0.06249999813735485,0.06287057988345623,0.05581781640648842,0.07014897912740707,0.0037109870463609695
prior_plateau_510_1000,510,1000,50,scale_off_by_one_accuracy,0.19182179868221283,0.19026990950107575,0.17453457415103912,0.20265391021966933,0.008032791316509247
prior_plateau_510_1000,510,1000,50,scale_mean_absolute_bin_error,5.926486253738403,5.90653549194336,5.5068175315856935,6.317187356948852,0.20842552185058594
prior_plateau_510_1000,510,1000,50,hard_decode_raw_nrmse,1.0012943744659424,1.001980996131897,1.000424337387085,1.0036826729774475,0.000714719295501709
prior_plateau_510_1000,510,1000,50,diagnostic_old_behavioral_operator_actual,0.02710686530917883,0.028115475028753282,0.024793941527605057,0.03186528757214546,0.002326677553355694
prior_plateau_510_1000,510,1000,50,operator_over_teacher_floor,22.100762681991334,22.612442905006414,19.54680140322777,26.003626949944994,2.038409612261276
prior_plateau_510_1000,510,1000,50,diagnostic_old_behavioral_direction,0.9802250862121582,0.9752334702014923,0.950913405418396,0.9961321771144866,0.010692954063415527
prior_plateau_510_1000,510,1000,50,diagnostic_old_structural_direction,0.9653017520904541,0.964272962808609,0.9417598128318787,0.9827652454376221,0.010943710803985596
prior_plateau_510_1000,510,1000,50,diagnostic_old_direction_contrastive_loss,0.8687036633491516,0.8813726830482483,0.7783778131008148,0.991239458322525,0.05833852291107178
prior_plateau_510_1000,510,1000,50,diagnostic_old_direction_contrastive_top1_accuracy,0.4472222328186035,0.44575806498527526,0.33181819021701814,0.5555555820465088,0.07468253374099731
