bin_end,rows,step_min,step_max,step,code_gradient_rms,code_scale_gradient_cosine,scale_gradient_rms,scale_over_code_gradient_rms,bottleneck_projections,categorical_tail,code_head,decoder_block_1,decoder_block_2,decoder_block_3,decoder_block_4,decoder_block_5,distribution_encoder,encoder_block_1,encoder_block_10,encoder_block_11,encoder_block_12,encoder_block_13,encoder_block_2,encoder_block_3,encoder_block_4,encoder_block_5,encoder_block_6,encoder_block_7,encoder_block_8,encoder_block_9,input_and_queries,none_parameter_tensors,scale_head,complete
11000,10,10100,11000,10550.0,6.0434843796031146e-09,0.07229559868574142,6.081317005524056e-09,0.7740950286388397,7.322667331954614e-07,8.281099954075254e-08,6.916749781280074e-06,1.7755958796110602e-07,1.3749964641219277e-07,1.0724374425896451e-07,1.0167198485175343e-07,9.527525302954581e-08,1.7100901194929684e-08,2.1261799899994505e-07,1.228436354227564e-08,1.2301238288986277e-08,1.3016275404606388e-08,1.4002635386797634e-08,5.3115450291516964e-08,3.8230571546817676e-08,2.872374193368136e-08,2.1412274581268063e-08,1.7424571734694932e-08,1.497030791371558e-08,1.3418899846684344e-08,1.253132926961601e-08,7.139750732834788e-07,0.0,1.8269972729219165e-06,True
12000,10,11100,12000,11550.0,6.240912231447737e-09,0.05101862922310829,6.076002811994385e-09,1.1211575865745544,8.286558641943564e-07,8.23299967513271e-08,6.579382330769087e-06,1.9565542754017613e-07,1.3759998562461518e-07,1.0686690885645928e-07,1.0957037787355983e-07,1.0105986418525049e-07,3.092463217713586e-08,2.576716394864186e-07,1.1259352005978173e-08,1.1177829520654756e-08,1.1977579081162223e-08,1.2818598161692139e-08,4.850580564503742e-08,3.4543106713198785e-08,2.5999088363531263e-08,1.884088014482484e-08,1.5418764032172626e-08,1.342785481634137e-08,1.2184004361702176e-08,1.1217167126288213e-08,9.779257843846429e-07,0.0,2.088715941388867e-06,True
13000,10,12100,13000,12550.0,6.312331102265034e-09,0.010213182773441076,6.412778530417995e-09,0.984169602394104,7.018592496120931e-07,6.852447512959913e-08,6.144245088573989e-06,1.9726258772697182e-07,1.274050507947736e-07,9.790039836748387e-08,1.1010690315010555e-07,9.399926226922318e-08,2.078189721030084e-08,1.9809843260620656e-07,8.846919692379177e-09,9.00450668309378e-09,1.016509997991338e-08,1.1491437622808755e-08,3.7082697263464504e-08,2.828491300145022e-08,2.131943534914576e-08,1.5123620255301807e-08,1.230529956504506e-08,1.0224762213446235e-08,9.385234589808857e-09,8.890597985803666e-09,7.380942266331304e-07,0.0,2.038291456643507e-06,True
14000,10,13100,14000,13550.0,1.4527797187469105e-08,0.08114610984921455,8.937022677457662e-09,0.5572789460420609,1.1437111031098745e-06,8.72532525530809e-08,5.917300292798143e-06,4.7387682099356616e-07,2.386647912507386e-07,1.49277817584368e-07,1.6565982814423364e-07,1.1450327110976531e-07,7.018848488174891e-08,3.600498946714426e-07,1.2893427137569225e-08,1.3251801025425187e-08,1.4723869315650583e-08,1.7018105575705382e-08,4.659419583317624e-08,3.967628201304159e-08,3.102571596679144e-08,2.1695154025801682e-08,1.6853174621133387e-08,1.4674999062652185e-08,1.3786795283305593e-08,1.2920173236069515e-08,1.6711326125124864e-06,0.0,1.9087769643826515e-06,True
15000,10,14100,15000,14550.0,2.1390544446830972e-08,0.10644136741757393,8.160036202298215e-09,0.37847404181957245,1.3770834846980654e-06,8.522074112732581e-08,7.38691945893258e-06,6.02529101469645e-07,3.148120368173407e-07,2.1592540487824805e-07,2.2023685514121394e-07,1.3519255004309327e-07,4.238329574030728e-08,4.666204774174717e-07,1.4283932354687801e-08,1.4461240634734796e-08,1.642289231244825e-08,1.9279160149640885e-08,4.600432624226408e-08,3.941820834995643e-08,3.2479098238448107e-08,2.2178350288474422e-08,1.749422303386889e-08,1.5410656159123988e-08,1.4349697549605211e-08,1.3908771527693488e-08,1.971220516020684e-06,0.0,1.0591900282418827e-06,True
16000,10,15100,16000,15550.0,2.601361170917471e-08,0.07771311327815056,8.626715342074931e-09,0.3935938775539398,1.6295991701716027e-06,8.204274331823945e-08,5.859128391694251e-06,7.570717066912081e-07,3.8200545991827187e-07,2.580570668324883e-07,2.0238271015274013e-07,1.2808773507083858e-07,5.843557646776449e-08,6.347351609390093e-07,1.6394071727744444e-08,1.6244944896704024e-08,1.8269278189944388e-08,2.2725346736342177e-08,4.1896054719174857e-08,3.8947009818873526e-08,3.346105196389546e-08,2.434737248392114e-08,1.8480718557499432e-08,1.642122590620295e-08,1.636028459430892e-08,1.61535188404082e-08,2.764063029445831e-06,0.0,1.5804229256978882e-06,True
17000,10,16100,17000,16550.0,2.6761398430608097e-08,0.07668348401784897,9.390110911056126e-09,0.38098040223121643,1.7239953171170271e-06,8.975812235093162e-08,5.194627664479671e-06,9.556147627004401e-07,5.190878664193466e-07,3.29297242815019e-07,1.9843367562672153e-07,1.225387064688274e-07,8.843189681510994e-08,5.919796905846664e-07,1.4805150513155195e-08,1.509700215092197e-08,1.698003538838537e-08,2.097993471458715e-08,3.8545525114499794e-08,3.544883895344759e-08,2.929356965469758e-08,2.0718778854664215e-08,1.647304586294509e-08,1.475034344693473e-08,1.448159787373538e-08,1.4474197088720515e-08,2.866312629522599e-06,0.0,1.2657012864678047e-06,True
18000,10,17100,18000,17550.0,3.3819357980746645e-08,0.07712461426854134,1.7328287249540608e-08,0.5261557102203369,2.4443563105136297e-06,1.2307243642983174e-07,6.119545720065534e-06,1.4573344773471205e-06,7.397826125926422e-07,4.583708215086046e-07,2.696244829324829e-07,2.0102433098659287e-07,4.850436142471748e-08,7.5607091367836e-07,1.71535325297097e-08,1.7625910823760465e-08,1.950391135953524e-08,2.3719776909960512e-08,4.067094462128935e-08,3.712948273534382e-08,3.2061339300162904e-08,2.3803345504324074e-08,1.9695910271110415e-08,1.744733918946459e-08,1.7101565583685785e-08,1.699867141200256e-08,3.422996071312788e-06,0.0,1.2947913987374383e-06,True
19000,10,18100,19000,18550.0,3.972989226497248e-08,0.06930152699351311,1.6698733951159284e-08,0.39516399800777435,2.9218833293933235e-06,1.3215383011510384e-07,5.9617246694864735e-06,1.8106242008812478e-06,9.348926315653604e-07,5.770069611934576e-07,2.816478570649243e-07,2.0125197475587303e-07,3.0508944706231827e-07,8.224683537775627e-07,1.949188156666008e-08,2.0492029873854446e-08,2.317696531473104e-08,2.5933366830474167e-08,4.5090186717250945e-08,4.1163223637437845e-08,3.485673644017584e-08,2.6961283767862452e-08,2.2105387148697765e-08,1.9186041473021086e-08,2.0602925594606728e-08,2.0744568583686387e-08,3.874712105270386e-06,0.0,1.4928766105686583e-06,True
20000,10,19100,20000,19550.0,5.1505040232768806e-08,0.06676312908530235,1.839904184564034e-08,0.4001135677099228,3.296607549574269e-06,1.6793497715072575e-07,5.507963531704988e-06,2.0308361121651242e-06,1.0193720854193664e-06,6.333916214687111e-07,3.032391170919638e-07,2.3757987713479006e-07,3.8658740661865564e-07,9.07961663762671e-07,2.421942966618436e-08,2.5481466766334237e-08,3.004362293624244e-08,3.430982446822346e-08,4.6884562536385915e-08,4.4540315704594376e-08,4.008301245667414e-08,3.130358795465676e-08,2.7610248572840468e-08,2.4041827239022913e-08,2.5414047558644894e-08,2.5501195490608263e-08,4.5931383708761685e-06,0.0,1.3118889222839277e-06,True
21000,10,20100,21000,20550.0,4.053414848215198e-08,0.04691651463508606,1.2156354145531623e-08,0.3833506554365158,2.9718068607978893e-06,1.900051669561223e-07,5.80934097986532e-06,2.022131983739027e-06,1.0636119565589448e-06,6.547119141307412e-07,3.6070680065623887e-07,2.4733726099778925e-07,4.761323101562258e-07,8.681012466249444e-07,1.9658869800905504e-08,2.0855967831956036e-08,2.381381560907323e-08,2.9061994771522968e-08,3.988614906397312e-08,3.693978742942214e-08,3.306937817263807e-08,2.5097121802883147e-08,2.0956490015093578e-08,1.9252319870360756e-08,1.9397464310306507e-08,1.9921785798877707e-08,4.291366395800668e-06,0.0,1.354457557265398e-06,True
22000,10,21100,22000,21550.0,5.808189484923787e-08,0.07680649682879448,1.7833031940028832e-08,0.38123732805252075,4.2265899166137e-06,3.1219736455418446e-07,5.96808672634784e-06,2.4800279688516143e-06,1.2505573538584886e-06,7.791148908441438e-07,4.451471991456738e-07,3.1615816259719745e-07,4.6064036437283804e-07,1.1589642538828898e-06,2.8708281260006952e-08,3.0781899245808056e-08,3.372576253580294e-08,4.083660766275237e-08,5.532554853961281e-08,5.30730913941676e-08,4.6370646640616886e-08,3.619239040064585e-08,3.023667845773326e-08,2.7288579808871766e-08,2.8236563455069066e-08,2.908282789697651e-08,6.010209048628115e-06,0.0,1.7161604776103726e-06,True
23000,10,22100,23000,22550.0,7.761269316119979e-08,0.06887786462903023,2.4250147667714828e-08,0.33423246443271637,6.1524200215817205e-06,4.6488235823533005e-07,6.226455065381738e-06,3.0544203545826704e-06,1.560555922134895e-06,9.997726899924406e-07,7.21483566593269e-07,4.773962686413501e-07,4.774490580070301e-07,1.780418369672371e-06,3.950068743228705e-08,3.974084855457877e-08,4.34581214983621e-08,5.404357397257079e-08,6.763864134718272e-08,6.357143056045348e-08,5.65730798666076e-08,4.601586216628805e-08,3.9110932909572934e-08,3.5415514182367294e-08,3.806863702245711e-08,3.938392353906983e-08,8.514260565613431e-06,0.0,1.447659302467408e-06,True
24000,10,23100,24000,23550.0,7.962443504538896e-08,0.05030740983784199,2.745748162169548e-08,0.26897504925727844,5.734146077746668e-06,5.935412695403792e-07,6.173238209528495e-06,3.3692962417207694e-06,1.7313665141235206e-06,1.1542956902483246e-06,8.502319095802044e-07,5.664658926025874e-07,7.738910677994268e-07,1.5085448444944287e-06,4.237361338589079e-08,4.783775057448339e-08,4.89111058428951e-08,5.939374124790485e-08,7.103398772561276e-08,6.791751307818422e-08,5.975219273868957e-08,4.686439576425114e-08,4.0885325342125646e-08,3.879861243295114e-08,4.131230699783822e-08,4.158301824759573e-08,9.13151403030578e-06,0.0,1.3110855692371443e-06,True
25000,10,24100,25000,24550.0,8.886759417237045e-08,0.05439726635813713,1.8611947538715867e-08,0.25950002670288086,6.323737698921213e-06,6.188628156390946e-07,5.1952725620541875e-06,3.5269025741869693e-06,1.947014164705471e-06,1.3208677764988176e-06,9.584852710029153e-07,6.730314314892827e-07,1.1069016487368344e-06,1.6917604879296792e-06,4.399993637759805e-08,4.7009773705185944e-08,4.9985111027067037e-08,5.9278068740073364e-08,6.580997894963003e-08,6.597302570107235e-08,5.9263494195397674e-08,4.765741020013503e-08,4.210895204537444e-08,4.136737916538608e-08,4.210696907302106e-08,4.142375832525482e-08,8.885979996504496e-06,0.0,8.761136724554101e-07,True
26000,10,25100,26000,25550.0,6.346660086364864e-08,0.07127603143453598,1.7625980675006758e-08,0.2892099767923355,4.54078049016335e-06,4.0334867226869057e-07,5.051250901596349e-06,2.514166046089612e-06,1.3813330883375091e-06,9.444974365640649e-07,7.421715529767027e-07,5.277732110684605e-07,1.122635529261741e-06,1.1017638057954436e-06,3.107374643086941e-08,3.58792311463462e-08,3.776161447478521e-08,4.56170376753784e-08,5.274528068558159e-08,5.1222662989450724e-08,4.470260569321253e-08,3.577816830874087e-08,2.9897982235206645e-08,2.9727127226337328e-08,2.9832208759257516e-08,2.9543395259100634e-08,6.3234402049114575e-06,0.0,1.0602173738192757e-06,True
27000,10,26100,27000,26550.0,9.185119509425022e-08,0.0556827187538147,1.6480946385399875e-08,0.22180845588445663,5.878953783676257e-06,4.5871817355334493e-07,4.9651450058923126e-06,3.4797652839953553e-06,1.8935278079185428e-06,1.337584032255579e-06,1.0189157148328508e-06,7.369047663420128e-07,1.3569035504538134e-06,1.2811958633542381e-06,3.9432732846450255e-08,4.587728997310418e-08,4.8285472426912087e-08,5.311408952772175e-08,5.983858028961189e-08,5.596785965721814e-08,5.2588776534283955e-08,4.2096195929711504e-08,3.648420803549477e-08,3.5244444348213515e-08,3.569756106681024e-08,3.76416017139899e-08,7.220034708101724e-06,0.0,1.1588721339894063e-06,True
28000,10,27100,28000,27550.0,1.0852828324914299e-07,0.044226646423339844,1.8570099236114856e-08,0.17545770108699799,6.8531445218378025e-06,5.482028224009362e-07,4.744975655393665e-06,4.503944856172688e-06,2.4069581736983996e-06,1.7320209378806535e-06,1.3235853876472157e-06,9.475304963849474e-07,1.8302352837867895e-06,1.6740418945752922e-06,4.2409908312506735e-08,4.582559395302262e-08,4.93232254296353e-08,5.6143435752040404e-08,6.527755000218595e-08,6.231387909012263e-08,5.814544568285192e-08,4.613990369749293e-08,3.885352605658916e-08,3.5818269179946836e-08,4.014217354793641e-08,3.9747406119164296e-08,9.569349856002963e-06,0.0,1.1548562427664806e-06,True
29000,10,28100,29000,28550.0,8.514114568924924e-08,0.050840262323617935,1.316133957374177e-08,0.16398131102323532,5.66440244034911e-06,5.221137162688685e-07,5.011385297395545e-06,3.548007108875599e-06,1.8496317711418335e-06,1.3539374703824481e-06,1.0454749988853541e-06,7.436814338929157e-07,1.011649881927331e-06,1.2139559068236905e-06,3.221392062310219e-08,3.400043104847873e-08,3.567424749257957e-08,4.1456377903269816e-08,5.642513873087364e-08,5.069383303927004e-08,4.6637414509957326e-08,3.700144761749637e-08,3.311144843299195e-08,2.991773489024748e-08,3.159275248673994e-08,3.112104714986693e-08,7.371992642682506e-06,0.0,1.1020630198945242e-06,True
30000,10,29100,30000,29550.0,5.974468031411106e-08,0.0610969141125679,1.631500534671204e-08,0.2319232076406479,4.318134415626436e-06,3.8652589731915e-07,5.492916970281684e-06,2.7549965036760013e-06,1.471076194260643e-06,1.0735903980782801e-06,8.296671938182393e-07,5.94209677539186e-07,4.645400803473144e-07,1.098799343647723e-06,3.3530506887753195e-08,3.695021815160041e-08,3.9093888878019685e-08,4.712457548296482e-08,5.4629800380448616e-08,5.3913448232766796e-08,5.188331751334572e-08,4.227357614470553e-08,3.564265895844382e-08,3.335274603191067e-08,3.281098702872239e-08,3.187488857449232e-08,5.82263036806372e-06,0.0,1.0880457236950254e-06,True
31000,10,30100,31000,30550.0,7.343981422991419e-08,0.07596099004149437,1.4341407617024515e-08,0.22614814341068268,4.972846338495138e-06,4.3377647843568515e-07,6.23194070389454e-06,3.050792467989253e-06,1.6596288975704274e-06,1.2268815450268754e-06,9.718990920931144e-07,6.863642994478015e-07,3.2916404749801173e-07,1.1435441275223333e-06,2.9213389502405903e-08,3.121763048760307e-08,3.347304606730613e-08,3.804029341646073e-08,5.235001257899115e-08,4.8923008686996365e-08,4.434632959828671e-08,3.6101832622135735e-08,3.146326041644958e-08,2.7363303973977003e-08,2.9377364469805966e-08,2.8211386105627607e-08,6.14404152110661e-06,0.0,1.0593746773669094e-06,True
32000,10,31100,32000,31550.0,7.23439761429745e-08,0.07847652584314346,1.7477921332442747e-08,0.21928617358207703,4.895813366924941e-06,4.134325067505072e-07,5.552559030308575e-06,3.0916126646154194e-06,1.6173744595736359e-06,1.2018978769608028e-06,9.460536010131242e-07,6.682889004275875e-07,2.740696529930311e-07,1.1203508560232645e-06,3.1469870117548024e-08,3.3160555306245214e-08,3.4807084178010144e-08,3.8981840180062515e-08,5.4736020020555545e-08,5.10880833851497e-08,4.6312091522493826e-08,3.726579087634694e-08,3.286664933156735e-08,3.064969826423328e-08,3.1083149501366675e-08,2.9564161846882838e-08,6.192416801473553e-06,0.0,9.565037768215722e-07,True
33000,10,32100,33000,32550.0,6.66156267925544e-08,0.07067468762397766,1.2708578633890966e-08,0.20285522937774658,4.669716505110557e-06,4.1593060473786497e-07,5.05039524904216e-06,2.7150324574165748e-06,1.42456004266518e-06,1.0620005976104034e-06,8.357085932592434e-07,5.856299330703151e-07,3.5709876127876987e-07,1.205846475473622e-06,3.026656126225709e-08,3.4094954542199e-08,3.381220265674828e-08,4.0985680575353334e-08,5.109350597504018e-08,4.947322551853607e-08,4.4363826578506824e-08,3.7341174668675714e-08,3.314850365909089e-08,2.750109341108941e-08,2.9790387652769427e-08,2.8877582163195847e-08,6.27932420883497e-06,0.0,1.202412281627995e-06,True
34000,10,33100,34000,33550.0,6.00410388074124e-08,0.07109389826655388,1.2412784133886134e-08,0.26382483541965485,3.902571692116872e-06,3.6585579171345866e-07,5.1871631729601244e-06,2.3126503883397656e-06,1.2195195393654619e-06,9.180921440160789e-07,7.204707183935165e-07,5.111125308852145e-07,7.387889389227733e-07,9.201052649855621e-07,3.0755889003463665e-08,3.1829740943560555e-08,3.3947648175008866e-08,4.0802770870286143e-08,4.8731731217135175e-08,4.799974913469793e-08,4.530161321215913e-08,3.774068117931747e-08,3.1995095868991724e-08,2.8606429263519374e-08,3.073885688875302e-08,2.9473190240917137e-08,5.082112789454059e-06,0.0,1.2271250075906169e-06,True
35000,10,34100,35000,34550.0,5.5261914155835257e-08,0.05061919428408146,1.7573064781117864e-08,0.3073953539133072,3.5639842807872077e-06,3.156293813599084e-07,4.618834878299078e-06,2.3292780322445543e-06,1.2635064623214505e-06,9.600852904636016e-07,7.651860477187433e-07,5.30768995868408e-07,1.900398331910818e-07,7.090564576257907e-07,2.1968544960381073e-08,2.3019248958000767e-08,2.3317968217410214e-08,2.7034565125102932e-08,3.623892621967181e-08,3.4192516544476284e-08,3.021272611888967e-08,2.478578768481239e-08,2.383523215437603e-08,1.9673651617829378e-08,2.1324043253083135e-08,2.1448986560733192e-08,4.10784941861622e-06,0.0,1.1809891470246223e-06,True
36000,10,35100,36000,35550.0,5.444746342675444e-08,0.0535004585981369,1.9602664380613533e-08,0.36542898416519165,3.5866945656386328e-06,3.1746677303440043e-07,4.309113180042519e-06,2.5899009919418205e-06,1.3926757010803945e-06,1.0514503503009005e-06,8.186226661258955e-07,5.543702282687302e-07,3.8772963887666026e-07,8.084616178287296e-07,2.4888082387720078e-08,2.596931667159502e-08,2.612252135784373e-08,2.9008464826677514e-08,4.1178917155393625e-08,3.716933069020292e-08,3.4392686742465865e-08,2.775676067161608e-08,2.6646574308952776e-08,2.2399653971811294e-08,2.506399512467467e-08,2.4346244168197387e-08,4.59223722958036e-06,0.0,1.147450568046206e-06,True
37000,10,36100,37000,36550.0,5.4700203477864306e-08,0.06744325906038284,1.3172497759228463e-08,0.2901652604341507,3.4411190843059828e-06,3.4062387275213175e-07,5.735864804213425e-06,2.240373518068051e-06,1.188841573304938e-06,9.016245404725303e-07,7.15664530690128e-07,4.919646013654142e-07,1.9604551021858826e-07,7.691392937894773e-07,2.1580683881309665e-08,2.2622013616630086e-08,2.3344498423631426e-08,2.7157598800851416e-08,3.4809796857360654e-08,3.3567294228631894e-08,3.0007589438556256e-08,2.547474528249095e-08,2.2777261069211618e-08,1.921104540230777e-08,2.1693570281489606e-08,2.141415834406003e-08,4.220973189883286e-06,0.0,1.15776232788009e-06,True
38000,10,37100,38000,37550.0,4.98201266907472e-08,0.06492829881608486,2.0122580046688654e-08,0.3639462739229202,3.390256912808582e-06,3.4198461218732424e-07,4.967771634129333e-06,2.4927036222235774e-06,1.3608323337904347e-06,1.024850573460034e-06,8.02103866276121e-07,5.38091895485105e-07,1.760934667257015e-07,8.08784129123386e-07,2.6201347969968555e-08,2.6667978232654107e-08,2.8491756898177825e-08,3.6149817812369726e-08,4.405869632274174e-08,4.338975253283068e-08,3.577858197213435e-08,3.070501713424972e-08,2.7836549033045546e-08,2.3630147844621932e-08,2.8318691007905052e-08,2.6048099286300416e-08,4.8029959356729725e-06,0.0,1.2057026933152427e-06,True
39000,10,38100,39000,38550.0,5.69568925357089e-08,0.03773120231926441,3.006895621382455e-08,0.44201046228408813,3.80127952174481e-06,3.469019290795455e-07,4.8614534825443334e-06,2.9963625610360724e-06,1.6534597004995712e-06,1.2737916695967167e-06,1.0062619396983508e-06,6.632864553299953e-07,2.445649811851014e-07,7.219595828381962e-07,2.3325861244466426e-08,2.5080127175051218e-08,2.5102699298814285e-08,2.964446223813195e-08,4.034792672039213e-08,3.7850141780793806e-08,3.254093509439823e-08,2.681893424213364e-08,2.5645282628873434e-08,2.224623920485424e-08,2.33496306308802e-08,2.265423622113152e-08,4.34683959552559e-06,0.0,1.0405775560784627e-06,True
