bin_end,rows,step_min,step_max,step,code_gradient_rms,code_scale_gradient_cosine,scale_gradient_rms,scale_over_code_gradient_rms,bottleneck_projections,categorical_tail,code_head,decoder_block_1,decoder_block_2,decoder_block_3,decoder_block_4,decoder_block_5,distribution_encoder,encoder_block_1,encoder_block_10,encoder_block_11,encoder_block_12,encoder_block_13,encoder_block_2,encoder_block_3,encoder_block_4,encoder_block_5,encoder_block_6,encoder_block_7,encoder_block_8,encoder_block_9,input_and_queries,none_parameter_tensors,scale_head,complete
40000,10,39100,40000,39550.0,5.6948211479834754e-08,0.04523385129868984,3.769774536976911e-08,0.5569082796573639,4.260760401040427e-06,3.7856997666452975e-07,5.207086169572176e-06,3.1986245154888535e-06,1.7600180155861844e-06,1.3606507768803824e-06,1.0808026372434479e-06,7.370244089986886e-07,1.8136097635625067e-07,8.495098788158955e-07,2.604640979554285e-08,2.749924991041352e-08,2.7646253756994843e-08,3.2505522829855695e-08,4.5582062355299845e-08,4.231526827908195e-08,3.6967746813365415e-08,3.003980488065594e-08,2.7525306661732772e-08,2.3311973388149472e-08,2.5082443834826274e-08,2.48137261774982e-08,4.808231139065524e-06,0.0,9.763503705084983e-07,True
41000,10,40100,41000,40550.0,4.651378127107364e-08,0.04928215220570564,2.0352710183857425e-08,0.40445084869861603,3.4399404406413984e-06,3.7306484800694476e-07,5.328821757320107e-06,2.447117663781374e-06,1.3499105184134027e-06,1.0410959520511862e-06,8.260897480958482e-07,5.511699329781169e-07,2.5961937372934385e-07,6.941864471446033e-07,2.0619765618410043e-08,2.244742769259772e-08,2.3606112741042996e-08,2.6102307189076206e-08,3.9386961432601046e-08,3.38119218163153e-08,3.0557308552901384e-08,2.5453460767081366e-08,2.3180492306070218e-08,1.9767455948242208e-08,2.1327710389764366e-08,2.0711700008810206e-08,3.913793168151209e-06,0.0,1.1014321968216021e-06,True
42000,10,41100,42000,41550.0,4.4610995786342755e-08,0.055179890245199203,2.095361750775737e-08,0.37404970824718475,3.4471352960231796e-06,4.045021155209011e-07,5.984655437044383e-06,2.630306051313242e-06,1.4151847039209566e-06,1.1297074842471773e-06,9.154423227822307e-07,6.102973647783679e-07,1.8384166055067695e-07,6.712408542538088e-07,2.0137271418622162e-08,2.181264853457337e-08,2.3072038032087244e-08,2.7084127176421032e-08,3.7068217299140853e-08,3.245566822525491e-08,2.8892820556479436e-08,2.4463387200728842e-08,2.177608820146139e-08,1.890946145959006e-08,2.0173805035490227e-08,1.966317671939504e-08,3.823056219899965e-06,0.0,1.0234576511169103e-06,True
43000,10,42100,43000,42550.0,8.456411748625214e-08,0.04002711735665798,2.001237842108594e-08,0.24581129103899002,5.578056605564647e-06,5.204122380396694e-07,4.759493605633551e-06,4.068296263216329e-06,2.2120913991313953e-06,1.7643138885470712e-06,1.4017156699068212e-06,9.17762666576159e-07,3.110064290995291e-07,1.0404584912573141e-06,3.196201154881796e-08,3.490245015177986e-08,3.6169312790077656e-08,4.349379505972192e-08,5.330404885535338e-08,4.9388455605349647e-08,4.3567560170081875e-08,3.837554091099811e-08,3.329891131575331e-08,2.954717520252015e-08,3.192884435816166e-08,3.186765968517304e-08,6.379200381860673e-06,0.0,1.1941833051134874e-06,True
44000,10,43100,44000,43550.0,9.251695587408904e-08,0.05474329739809036,1.755806122716308e-08,0.2081299126148224,5.775803654174491e-06,5.829942468562125e-07,4.733943684244399e-06,4.257843684631413e-06,2.337376945410642e-06,1.8637878666625848e-06,1.468750842610086e-06,9.488898846107856e-07,3.2701218916304957e-07,1.1642638369682248e-06,3.3790759773608525e-08,3.6885002749515893e-08,3.855021918223034e-08,4.718991521277189e-08,5.471785230767889e-08,5.088689398323581e-08,4.4829152334047804e-08,3.8822054449980886e-08,3.529959523599857e-08,3.101055181433841e-08,3.249993705395341e-08,3.370621958965699e-08,6.812685238339886e-06,0.0,9.656997132089842e-07,True
45000,10,44100,45000,44550.0,8.443027255111701e-08,0.05908111669123173,1.6379616329942337e-08,0.1788306087255478,5.4341901171525574e-06,5.486814096100564e-07,4.256511721914848e-06,3.902054819285981e-06,2.1429214879677216e-06,1.6986396691729063e-06,1.3092447528546044e-06,8.289993661722295e-07,2.2221760318521876e-07,1.0192658768373315e-06,2.948886754392786e-08,3.110914627278154e-08,3.393655184203908e-08,4.2584139862953865e-08,4.8114205544991685e-08,4.4664460720761494e-08,3.882908638008326e-08,3.3733670243843054e-08,3.075912405985741e-08,2.6295304565059768e-08,2.8595311332888533e-08,2.8552477739549363e-08,6.2433763035601695e-06,0.0,8.146920493679459e-07,True
46000,10,45100,46000,45550.0,9.303888504064162e-08,0.05931207723915577,2.083405181707576e-08,0.2401418462395668,5.911958807100104e-06,6.209507560912523e-07,5.56952052558628e-06,4.461603754837737e-06,2.477958051696076e-06,1.9338767118081174e-06,1.4909686885355138e-06,9.498955804896315e-07,3.283451212463775e-07,1.0619262053511172e-06,3.658832279249833e-08,3.699654359746903e-08,3.931537730804346e-08,4.717459012568359e-08,5.4865949053825374e-08,5.037721498431802e-08,4.3984819379343174e-08,3.886423355179819e-08,3.539804514340899e-08,3.203443188786839e-08,3.456159216471658e-08,3.4719338148235084e-08,6.789354923099062e-06,0.0,1.1971913158583994e-06,True
47000,10,46100,47000,46550.0,7.51463780090944e-08,0.06913900747895241,2.28186598505431e-08,0.30671586096286774,5.190449769740882e-06,5.035425723111491e-07,4.1568221995745716e-06,3.353390073569561e-06,1.8433203830084163e-06,1.4347124927883139e-06,1.1187061789709415e-06,7.236181644378631e-07,3.680910897113618e-07,1.0845145509815032e-06,3.797104469899854e-08,3.945183742218885e-08,4.339142309296898e-08,5.1864877237497145e-08,5.58799695879401e-08,5.303576714056419e-08,4.6642715923329613e-08,4.1732462341530144e-08,3.724074181052536e-08,3.369615899443872e-08,3.5576981710131564e-08,3.6281935884811016e-08,6.586033620793049e-06,0.0,1.008386689567009e-06,True
48000,10,47100,48000,47550.0,9.107357357152068e-08,0.07701444625854492,3.0803744444085623e-08,0.35188300907611847,6.3151683894504594e-06,5.375520632949158e-07,5.055079011826275e-06,4.370911828956638e-06,2.3205343562498757e-06,1.8235361528963938e-06,1.4283758908059855e-06,9.14937420265713e-07,5.447350941884361e-07,1.3587011246878044e-06,4.2817977684249907e-08,4.462118397080323e-08,4.808595289878466e-08,5.740195052887626e-08,6.634503999066088e-08,6.219158945760444e-08,5.391640122537795e-08,4.700701729583432e-08,4.268268252395367e-08,3.8301015124312244e-08,3.990903824127858e-08,4.112879391672142e-08,7.971448075658412e-06,0.0,1.132398760606829e-06,True
49000,10,48100,49000,48550.0,9.347830598471774e-08,0.08583319187164307,3.1979137560256277e-08,0.37567178905010223,6.933531330763889e-06,6.280956705179324e-07,5.1043013078876534e-06,4.555657533483975e-06,2.4669702473974427e-06,1.9215686018242586e-06,1.4737377235129103e-06,9.411163427451874e-07,3.829233096857179e-07,1.2423736101307272e-06,4.0793409785528656e-08,4.248139690279579e-08,4.741797902780183e-08,5.900171769073576e-08,6.444325652867659e-08,5.859583546632582e-08,5.0491669631745644e-08,4.437420319246991e-08,4.1781998776314454e-08,3.842972118206185e-08,3.9235413269552006e-08,4.2055465384797844e-08,7.795943318037638e-06,0.0,1.0542822980307835e-06,True
50000,10,49100,50000,49550.0,8.52256327732448e-08,0.0716153234243393,3.448204743961014e-08,0.35099832713603973,6.413156853382616e-06,6.284758857485629e-07,4.861475630878442e-06,4.567341452234131e-06,2.3841821739471747e-06,1.8527157782824085e-06,1.409973071325271e-06,8.792677367404002e-07,4.117469964547174e-07,1.1160920369645491e-06,4.128355032151063e-08,4.4301494867606464e-08,4.6912540966094046e-08,5.826721483224027e-08,6.368103241976786e-08,5.983805103465571e-08,5.29069696282247e-08,4.5486690418282335e-08,4.475749976511088e-08,3.858707205091675e-08,3.969625813599278e-08,4.2481093426378745e-08,7.600841404886491e-06,0.0,1.2768556334622008e-06,True
51000,10,50100,51000,50550.0,8.024434450248918e-08,0.06334936060011387,2.758898265398102e-08,0.319086953997612,5.7522569111306955e-06,5.627810264140705e-07,5.022332301066101e-06,3.972795137160934e-06,2.070001281454881e-06,1.653946053069789e-06,1.2888897375487062e-06,8.055480328229046e-07,5.809019483850447e-07,9.77353969515615e-07,3.667189433350386e-08,3.843092114327238e-08,4.2039821525604296e-08,5.4191012254738465e-08,5.522980540488225e-08,5.149429781769116e-08,4.5239457141338024e-08,4.0402361025775027e-08,3.801654842101634e-08,3.280450238818772e-08,3.50440149796982e-08,3.5731267753419706e-08,6.892456177566305e-06,0.0,1.0237180114105355e-06,True
52000,10,51100,52000,51550.0,8.322836819729673e-08,0.04691794887185097,2.527567666277264e-08,0.25308405607938766,5.223648207788246e-06,4.696874051400364e-07,5.7718006432864134e-06,3.742011916072807e-06,2.015967775962145e-06,1.5823390025915724e-06,1.2252412205428191e-06,7.680548172027409e-07,8.471161842423475e-07,1.0189533893646194e-06,4.5695109690076695e-08,4.47431263888674e-08,4.796645607678279e-08,5.138480864051369e-08,6.008340103309941e-08,5.501724691534623e-08,5.042439337956771e-08,4.414936424616506e-08,4.295310105171582e-08,4.1297740521869096e-08,4.243923150710089e-08,4.679524937915064e-08,6.989313110479115e-06,1.0,7.976747224361678e-07,True
53000,10,52100,53000,52550.0,9.004201473317153e-08,0.04513262398540974,2.3566567364241564e-08,0.272112712264061,5.591423595891e-06,4.821089699943289e-07,5.109664603807575e-06,3.886505951007547e-06,2.1210381760027953e-06,1.6651857492409674e-06,1.272853812994661e-06,7.691239999584535e-07,2.461415046357311e-07,1.0623354667339791e-06,3.32664821942499e-08,3.5469431454430046e-08,3.992494683473954e-08,4.945888559882045e-08,5.307197168751823e-08,4.807748541794088e-08,4.316193561241897e-08,3.823347628237514e-08,3.478918336160482e-08,3.0751810966411344e-08,3.2261111349636175e-08,3.267833951045916e-08,6.983361741584513e-06,0.5,8.108603866749815e-07,True
54000,10,53100,54000,53550.0,8.216734670440928e-08,0.04936600849032402,2.7629539545159787e-08,0.3508884161710739,5.433979459610499e-06,4.820062997291011e-07,5.469314018292213e-06,4.449571742850036e-06,2.4411412043194324e-06,1.912627531047106e-06,1.4596366629095996e-06,8.770478947048385e-07,3.2220702206198176e-07,8.693911414707423e-07,3.268847316957012e-08,3.514428537197482e-08,3.98055107981282e-08,5.1647191528025176e-08,5.331575441503809e-08,4.721630541772478e-08,4.161329179225652e-08,3.636398267854921e-08,3.460641934628554e-08,3.0988107195461975e-08,3.2605493827946186e-08,3.3312462676469876e-08,6.067828677069491e-06,0.5,1.0383487208259236e-06,True
55000,10,54100,55000,54550.0,6.626243731489012e-08,0.04131420701742172,2.0794766797394004e-08,0.33820465207099915,4.312741006181664e-06,4.356875773721782e-07,4.804532778808507e-06,3.199598741976315e-06,1.692083658672529e-06,1.3239857700609116e-06,1.0093460975187404e-06,6.192766653724583e-07,4.838983703985172e-07,8.612523701999423e-07,3.837713199555038e-08,4.2073471100268865e-08,4.67490404240376e-08,5.483106431933737e-08,6.018723227244714e-08,5.570475276999541e-08,4.9016666348825096e-08,4.350370186493674e-08,4.126044547992849e-08,3.510379307869132e-08,3.901256270839929e-08,4.162806203084249e-08,5.094683022565686e-06,0.5,8.086510656884e-07,True
56000,10,55100,56000,55550.0,5.491406618318706e-08,0.0748470090329647,1.9677854012911666e-08,0.3631948232650757,3.5723420887753704e-06,3.3127347910287283e-07,4.306728955814001e-06,2.3752794616194457e-06,1.285372117811427e-06,1.0286525748109054e-06,7.734722140116293e-07,4.6317694824944574e-07,1.9642779126965993e-07,7.028449470966672e-07,2.6695354252981162e-08,2.90049467575509e-08,3.166340302431763e-08,4.155845177749913e-08,3.923996167675516e-08,3.744508858538159e-08,3.391052171376229e-08,2.905896622785666e-08,2.676019704749973e-08,2.5196437344993687e-08,2.5483931309950663e-08,2.847149292966255e-08,4.069312929741616e-06,0.0,1.0769719196580708e-06,True
57000,10,56100,57000,56550.0,5.543384418160713e-08,0.0722121112048626,2.048269198695607e-08,0.3790539503097534,3.7168808018055902e-06,3.5536173687605296e-07,4.802482204375207e-06,2.8027052436086084e-06,1.5498859902629019e-06,1.2154733817517269e-06,8.920930161995605e-07,5.278094303087377e-07,1.3491453323778948e-07,6.631266578741423e-07,2.5721576076673456e-08,2.8402123533826926e-08,3.200607796347403e-08,4.037826428469855e-08,3.991556507597479e-08,3.870804322174621e-08,3.277383258040154e-08,2.8924759510146036e-08,2.6729170740738024e-08,2.5224117242176317e-08,2.5821584574719658e-08,2.636593271698352e-08,4.299649711983828e-06,0.0,1.179098937025445e-06,True
58000,10,57100,58000,57550.0,5.684073478562368e-08,0.08966656401753426,1.8714246152740088e-08,0.25639620423316956,3.85960626466649e-06,3.173774975357417e-07,4.2878786750139895e-06,2.6232318397720647e-06,1.4191593947572985e-06,1.142739128967564e-06,8.616045803990875e-07,5.124167345697593e-07,2.1790447812262015e-07,7.12569041463968e-07,2.4721140872898003e-08,2.677717051721861e-08,2.9919175563831125e-08,3.964924377108892e-08,3.682325335139833e-08,3.3598585261210706e-08,2.9977449546217394e-08,2.6670878189182504e-08,2.5830960214325427e-08,2.354490022517629e-08,2.407267106954575e-08,2.5997715730902643e-08,4.518448364474041e-06,0.0,8.792607675375033e-07,True
59000,10,58100,59000,58550.0,6.027433663291504e-08,0.07325168699026108,1.7001839047736667e-08,0.28348930180072784,3.838016779537717e-06,3.7339481290826435e-07,4.797085920672951e-06,2.6797786338998108e-06,1.518279800785144e-06,1.2184985722423293e-06,8.916387412592919e-07,5.290290618365004e-07,1.691785088710841e-07,6.778761048990302e-07,2.6506148702731984e-08,2.9079746439951713e-08,3.4158508645502644e-08,4.10414762758534e-08,3.9407187632657266e-08,3.639302867736855e-08,3.1054045806252016e-08,2.803934116571963e-08,2.7120277898939586e-08,2.5649053037114298e-08,2.6149230388684552e-08,2.7568795860190536e-08,4.407144726279669e-06,0.0,1.2900642450029654e-06,True
60000,10,59100,60000,59550.0,6.565648291712023e-08,0.07604598253965378,2.7183022055510264e-08,0.44179588556289673,4.557337169342263e-06,3.750237345651107e-07,4.603864462163807e-06,3.4976329263151034e-06,1.762430237816788e-06,1.4088098852483485e-06,1.0574343381664893e-06,6.239841208104708e-07,1.4401188108797403e-07,7.40643315942479e-07,2.9551833851064237e-08,3.109445068439863e-08,3.6772165849350254e-08,4.772945636878607e-08,4.7127266423437324e-08,4.2283294258804395e-08,3.635956312680865e-08,3.2707182984004006e-08,3.068598307562721e-08,2.746551745328078e-08,2.853218050352467e-08,2.9217391340158868e-08,5.072332707479393e-06,0.0,1.3574262637904384e-06,True
61000,10,60100,61000,60550.0,7.090815401511463e-08,0.06538865342736244,3.859487840429665e-08,0.5268099009990692,5.069258091594529e-06,3.9977761327626585e-07,4.750039972952725e-06,4.130641322935617e-06,2.1647077217819005e-06,1.7624721237639452e-06,1.3479595693469388e-06,7.866638650589038e-07,2.3990086428976995e-07,8.614493785324272e-07,3.441173947752316e-08,3.577753467753867e-08,4.1083368639241256e-08,5.4447560094158265e-08,5.577546926794112e-08,4.915517742693172e-08,4.1982056569607174e-08,3.744584177189923e-08,3.610520711516738e-08,3.299820243174588e-08,3.3739745894205375e-08,3.518556220356128e-08,5.745635767539617e-06,0.0,1.9716241344253312e-06,True
62000,10,61100,62000,61550.0,6.709689159833943e-08,0.06291675940155983,2.9397057232927182e-08,0.49483929574489594,4.662361059372273e-06,4.3926613810882685e-07,4.80970075876358e-06,3.8403692393112605e-06,2.0858277516804876e-06,1.6754748754763037e-06,1.2539839630511326e-06,7.235729203943891e-07,2.633180752261178e-07,7.579077926045845e-07,3.0594092282115406e-08,3.2751268668021725e-08,3.8825521715546914e-08,5.107475110594135e-08,4.996335991675983e-08,4.340782329157884e-08,3.906188353741899e-08,3.436828848475699e-08,3.353500064096788e-08,3.028465503197722e-08,3.0562705555147394e-08,3.200139449979908e-08,5.334084519414562e-06,0.0,1.4848790510798412e-06,True
63000,10,62100,63000,62550.0,5.899973665179914e-08,0.058069366961717606,4.0853175065080904e-08,0.5659157633781433,4.495530979744579e-06,4.198622115613623e-07,6.058379484228131e-06,3.731391344053183e-06,2.0085709912064626e-06,1.5794024854771522e-06,1.158236123810116e-06,6.55757548589029e-07,2.8510431138896695e-07,7.172661589956268e-07,2.954500555463574e-08,3.288100417629261e-08,3.8363454340246746e-08,4.9291587759305864e-08,5.0002839687665425e-08,4.3228649880987103e-08,3.74896413655083e-08,3.3628302973652434e-08,3.3359903052141794e-08,2.951658782463303e-08,3.021230263129628e-08,3.248064199988921e-08,5.074850703058239e-06,0.0,1.433361712469622e-06,True
64000,10,63100,64000,63550.0,6.229242188737771e-08,0.059287382289767265,2.137345767039278e-08,0.32179802656173706,4.302694796717286e-06,3.976450138571413e-07,4.271851546292048e-06,3.0019733555492664e-06,1.665229151743541e-06,1.3013732759369521e-06,9.561414187642623e-07,5.552265939342387e-07,2.319176307442929e-07,8.144171114846302e-07,2.9559006233123838e-08,3.162825798615265e-08,3.751384765819667e-08,4.8711341071037085e-08,4.4981351498952e-08,3.907992645800584e-08,3.47749006044247e-08,3.2370198518040674e-08,3.049010469387456e-08,2.850123145008338e-08,3.031026276064094e-08,3.081954436164157e-08,5.060980141791703e-06,0.0,1.2435043698444962e-06,True
65000,10,64100,65000,64550.0,6.918898876051571e-08,0.06368365697562695,2.741462079569601e-08,0.32168421149253845,4.921209617131312e-06,4.569854841154728e-07,5.10275751221843e-06,3.2487151095415297e-06,1.7711250897268158e-06,1.4068963147748505e-06,1.0407483265083382e-06,6.050049439260378e-07,4.927643507149356e-07,9.13406524031187e-07,3.043804790811066e-08,3.178451430402898e-08,3.8057247632433925e-08,5.031919020937028e-08,4.413952316571178e-08,3.823126810780111e-08,3.385599234947628e-08,3.1201294469801593e-08,3.0173702999983235e-08,2.9173462330751557e-08,3.0565086164395864e-08,3.15895594772988e-08,5.968451687572503e-06,0.0,1.041658221859593e-06,True
66000,10,65100,66000,65550.0,8.884075697324079e-08,0.04407244548201561,2.6057607627194557e-08,0.29739832878112793,5.456680007051156e-06,4.3468603922764626e-07,4.216910662814568e-06,3.5736450951402947e-06,1.864115489064454e-06,1.4675075776063839e-06,1.0862328170607062e-06,6.262366802728874e-07,1.5873771124242825e-07,1.0327016307716572e-06,3.2986217078009916e-08,3.6051434412530214e-08,4.4900364233701706e-08,5.833306745776306e-08,4.7557343845023197e-08,4.234735392048751e-08,3.9438246703350396e-08,3.4946367399391376e-08,3.380547716599017e-08,3.1870322440233294e-08,3.5003603839404293e-08,3.4152428912257844e-08,6.654420727732492e-06,0.0,8.484076525282699e-07,True
67000,10,66100,67000,66550.0,6.687785258918666e-08,0.03745812550187111,2.4530517173104727e-08,0.33147014677524567,4.534254231467528e-06,4.5368841308387955e-07,4.375218544918532e-06,3.448627716693751e-06,1.900873822549316e-06,1.4870642752177292e-06,1.0895245870638058e-06,6.275592203733821e-07,1.5659648421779807e-07,7.956801288228016e-07,3.122760071446169e-08,3.0835022013777095e-08,3.666878666795319e-08,4.568452158730826e-08,4.152172289676755e-08,3.603825276391726e-08,3.307144614523187e-08,3.0583619555074685e-08,2.9673764341207555e-08,2.6802786407473137e-08,2.9099022627400952e-08,2.9296007904240946e-08,5.448749025049946e-06,0.0,1.0340756949659993e-06,True
68000,10,67100,68000,67550.0,6.809871422319702e-08,0.07662957534193993,1.8063396112211194e-08,0.311973437666893,4.731641869451593e-06,4.136533773935652e-07,4.986069665826674e-06,2.729400174527832e-06,1.4866045370672537e-06,1.1862225405112354e-06,8.910593515374272e-07,5.278098761952234e-07,1.986731579487026e-07,8.588276502515218e-07,2.965460883739739e-08,3.0980406186119285e-08,3.670135651652732e-08,5.105027304442578e-08,4.2262175706173854e-08,3.827553206705213e-08,3.268880669985107e-08,3.129324735009557e-08,2.924554502413922e-08,2.7482733266013218e-08,2.9320139863356214e-08,2.916383667444173e-08,5.851735814652193e-06,0.0,1.0619545058077283e-06,True
69000,10,68100,69000,68550.0,6.781424133350811e-08,0.08286826312541962,2.8030606280537995e-08,0.4032665640115738,5.083123431837106e-06,3.656983272771878e-07,4.573242203252436e-06,3.570465538922065e-06,1.949677278011821e-06,1.56350761420182e-06,1.1497907235424673e-06,6.608392641369841e-07,1.8693009786031302e-07,8.295378810788006e-07,3.147589417695023e-08,3.423237248025327e-08,4.089144290320184e-08,5.4795200507926026e-08,4.7160794934475045e-08,4.113075635974345e-08,3.69777654480633e-08,3.496442505868829e-08,3.221642818158188e-08,2.9670545933290235e-08,3.1502538470746084e-08,3.369472784397958e-08,6.0416924379686886e-06,0.0,7.81382549529527e-07,True
70000,10,69100,70000,69550.0,6.646875050364542e-08,0.08123785257339478,2.3804990867404285e-08,0.35077421367168427,4.925130515424407e-06,3.501539129485896e-07,4.188223404560757e-06,3.449963526362342e-06,1.9045960454163375e-06,1.5262756698615664e-06,1.1317821474925129e-06,6.502922996825019e-07,2.0158876244850527e-07,8.390784193003595e-07,3.105456921624452e-08,3.294199798954322e-08,3.903741445866125e-08,5.0490199558400625e-08,4.6495155072785786e-08,4.099993028737937e-08,3.559395329103206e-08,3.362241720618218e-08,3.134477349997288e-08,2.9284494297785647e-08,3.0506836819921815e-08,3.1277628483607305e-08,5.9993092952300624e-06,0.0,6.949747400568316e-07,True
71000,10,70100,71000,70550.0,6.59174510531102e-08,0.06123247183859348,3.060492836937101e-08,0.45300742983818054,5.285536413966776e-06,3.918249585616518e-07,4.252734883876687e-06,3.5747687016698548e-06,1.9326141128290634e-06,1.5173220590695422e-06,1.0772054863944794e-06,6.036003825217909e-07,3.3103803041787733e-07,9.309908087916617e-07,3.4440691765227803e-08,3.594408593465714e-08,4.172757192499269e-08,5.6407546957572605e-08,4.777812177832499e-08,4.284533885980265e-08,3.839820220003114e-08,3.600540793811856e-08,3.365021680695277e-08,3.245410456032201e-08,3.3631578128874115e-08,3.4018098042897896e-08,6.105647239437615e-06,0.0,7.43906295714344e-07,True
72000,10,71100,72000,71550.0,5.900151656135222e-08,0.07527486607432365,1.8642037247218468e-08,0.3588608056306839,4.504886057485407e-06,4.574373109296481e-07,4.046721149212182e-06,2.7007264141134716e-06,1.5265793147695411e-06,1.2305882232735697e-06,9.227782728717314e-07,5.397063664869183e-07,2.6896054042432877e-07,7.975657631814741e-07,2.885745030352616e-08,3.103655790890796e-08,3.778078405846801e-08,5.036884167327566e-08,4.160132686776393e-08,3.676481370796457e-08,3.352105549746667e-08,3.2011906444859936e-08,2.991988757219331e-08,2.8921273969612292e-08,2.834297253442838e-08,3.000813990928775e-08,5.692723454101709e-06,0.0,1.1996655648306943e-06,True
73000,10,72100,73000,72550.0,9.724718452730485e-08,0.07120080664753914,2.7670512992017393e-08,0.3138706237077713,6.65475014660064e-06,4.901198937916222e-07,4.1475185265041576e-06,4.5774922136859114e-06,2.5955537975265625e-06,2.072725750839023e-06,1.522952075136138e-06,8.645825746731276e-07,3.420784208440497e-07,1.0443857957241032e-06,4.6077361511079374e-08,4.574826896720805e-08,5.7911721734861754e-08,7.881105286164998e-08,6.255713548883424e-08,5.622372495123397e-08,5.156098820614585e-08,4.7038374547909424e-08,4.2754978184234895e-08,4.2669907199708165e-08,4.4233583051563574e-08,4.504109039412186e-08,7.718453022762297e-06,0.0,1.0042102038156755e-06,True
74000,10,73100,74000,73550.0,9.558334923553957e-08,0.07325045578181744,2.8846529609438676e-08,0.30839090049266815,6.825181338296623e-06,4.5484214517143255e-07,4.446876261360799e-06,4.465209379107931e-06,2.502081897687987e-06,2.0119827801843497e-06,1.4748205333657697e-06,8.290363088899583e-07,2.461627053893425e-07,1.0939521092999884e-06,4.145307196228654e-08,4.470710694710939e-08,5.4942933983241556e-08,7.474900144068338e-08,5.857278805786191e-08,5.411628681608577e-08,4.756514477160725e-08,4.329792429799008e-08,3.973854278650988e-08,3.9036565851028744e-08,4.099681775665595e-08,4.1848528644432885e-08,7.908907234478422e-06,0.0,8.973051386044373e-07,True
75000,10,74100,75000,74550.0,1.0238957059982567e-07,0.06562582030892372,2.6296133270875544e-08,0.26552604138851166,6.551200419415326e-06,5.306048689519354e-07,3.974221403837636e-06,4.6979299858406524e-06,2.597413721958363e-06,2.086053607949422e-06,1.5452191855462266e-06,8.708406615421161e-07,2.3430768940344973e-07,1.126644827739007e-06,4.351415894385821e-08,4.700854852714163e-08,5.780684178028838e-08,8.156631763176076e-08,6.139045895043827e-08,5.5492629031459714e-08,4.992969811679308e-08,4.545859864149748e-08,4.218590737134797e-08,4.0723569145775395e-08,4.2365198615364784e-08,4.306457273361394e-08,7.240649259953765e-06,0.0,8.728819372597612e-07,True
76000,10,75100,76000,75550.0,8.94548364271941e-08,0.06377149000763893,3.0072318857321534e-08,0.3441885709762573,6.371016235272276e-06,5.019926337093547e-07,4.177852473631539e-06,4.752489489547648e-06,2.621361865953002e-06,2.057418242594308e-06,1.4780084036428893e-06,8.116563195461754e-07,1.8885615942603166e-07,1.0099177772679443e-06,4.054264503245439e-08,4.124217956644719e-08,5.073541551080022e-08,7.181194323498573e-08,5.523340841358382e-08,5.175213531064339e-08,4.3777600957763256e-08,3.963186274593604e-08,3.846122250137541e-08,3.606164595964756e-08,4.0080648515725665e-08,3.791394603052313e-08,7.239672917798692e-06,0.0,1.085632858192574e-06,True
77000,10,76100,77000,76550.0,7.075919583598989e-08,0.055558446794748306,1.3714124946773154e-08,0.19719256460666656,5.139242894781292e-06,3.7736068386194504e-07,3.913942453942312e-06,3.495736274163457e-06,1.8120164228464824e-06,1.4037261806012434e-06,1.017033118561487e-06,5.788136149859638e-07,1.610595009289221e-07,7.960922848100047e-07,3.015815542544344e-08,3.191453304426645e-08,3.926338270861709e-08,5.5672788553632107e-08,4.4333658638120545e-08,4.012698331444664e-08,3.435416659426618e-08,3.240615176812703e-08,2.859327697481316e-08,2.9123397281631278e-08,2.972964088109182e-08,3.026393170711318e-08,5.648422263092308e-06,0.0,1.191649644228382e-06,True
78000,10,77100,78000,77550.0,7.883745922754315e-08,0.04437778703868389,2.6924563911734367e-08,0.3158475309610367,5.544043745037127e-06,4.324981702807893e-07,4.794133327652033e-06,3.4998217101806392e-06,1.9283031463983384e-06,1.5191695559654534e-06,1.0998807335960373e-06,6.025506308738828e-07,1.5066334910496925e-07,9.210360525291647e-07,3.209357717677633e-08,3.406965057264807e-08,4.243266886526916e-08,6.125800121386111e-08,4.523482711415594e-08,3.9831173034891755e-08,3.5757170206392536e-08,3.39364148408437e-08,3.039378502141963e-08,3.078795426324479e-08,3.213035692871436e-08,3.210443216646372e-08,6.313887693027166e-06,0.0,1.1067943573311362e-06,True
79000,10,78100,79000,78550.0,8.64221370022733e-08,0.03864221088588238,2.100524643111612e-08,0.24109169840812683,5.599033064367772e-06,4.192594042800542e-07,5.1945946636515335e-06,3.934278582085357e-06,2.216950387137458e-06,1.7316493472186455e-06,1.258556576778235e-06,7.000317141358591e-07,2.017630828513817e-07,7.914250204900798e-07,3.213517699265335e-08,3.504910218573467e-08,4.4522781191969894e-08,6.655920673507894e-08,4.7779703786667294e-08,4.237256497458233e-08,3.717470713816846e-08,3.4589487706822187e-08,3.231531325836475e-08,3.0367459612637365e-08,3.0833081959312457e-08,3.1116976835987326e-08,6.1658935784058574e-06,0.0,1.030973410522957e-06,True
